strain	predicted_date
EM_COY_2015_016642	2015-05-15 16:55:31.327973
EM_COY_2015_015982	2015-04-19 15:09:33.704682
EM_COY_2015_016263	2015-05-04 16:52:03.686372
IPDPFHGINSP_GUI_2015_6505	2015-04-30 15:25:40.226899
CON12930	2015-10-12 13:42:00.866548
NODE_0000100	2015-04-11 13:28:04.532319
EM_COY_2015_017018	2015-05-26 15:26:02.144624
EM_COY_2015_016449	2015-05-11 14:48:35.660249
EM_079464	2014-04-01 18:13:00.439912
EM_079408	2014-03-27 21:26:51.812268
NODE_0000011	2014-03-25 16:14:25.913545
EM_079444	2014-04-01 15:20:13.891755
EM_079405	2014-03-28 15:19:21.569367
NODE_0000089	2014-03-29 00:58:56.810075
NODE_0000092	2014-04-13 12:41:32.422257
NODE_0000093	2014-05-03 07:41:57.251359
EM_079753	2014-05-22 15:04:53.893205
EM_079681	2014-05-11 15:57:46.360246
EM_079749	2014-05-19 15:41:10.998918
NODE_0000007	2014-05-05 15:54:50.853654
EM_079685	2014-05-11 15:23:00.262528
EM_079731	2014-05-19 15:12:39.768449
EM_079702	2014-05-11 15:54:18.718644
NODE_0000091	2014-04-21 05:09:34.017106
EM_079622	2014-04-27 15:13:33.779985
EM_079659	2014-05-04 16:08:10.521012
EM_079630	2014-04-30 15:47:33.899919
NODE_0000085	2014-04-05 02:21:50.011827
EM_079578	2014-04-16 16:34:07.359239
EM_079514	2014-04-08 13:01:39.442063
EM_079587	2014-04-19 15:10:59.923326
EM_079412	2014-03-28 15:31:25.585557
