num_tips	time	memory
81	8.985769033432007	166776
243	21.46490788459778	179832
729	65.35712385177612	209104
2187	185.08745574951172	325656
6561	575.2265019416809	660448
19683	1774.979252576828	1703112
59049	5778.406291723251	4880864
177147	18253.003318309784	14488876
