num_tips	time	memory
81	105.52392363548279	836540
243	108.10287833213806	832728
729	106.69673681259155	829988
2187	106.25027585029602	839868
6561	106.22881960868835	852788
19683	107.05091333389282	881424
59049	112.99190831184387	986364
177147	128.4618456363678	1299208
531441	172.19995737075806	2155352
1594323	292.2090377807617	5032120
4782969	324.8340640068054	5215356
14348907	358.0732002258301	5215636
43046721	311.54538583755493	5211420
129140163	318.0429129600525	5219724
387420489	318.27465558052063	5229856
1162261467	315.8133931159973	5218776
3486784401	1.228050947189331	336420
10460353203	1.1448729038238525	339404
31381059609	1.0872023105621338	335356
94143178827	1.1450488567352295	336384
282429536481	1.1315655708312988	337228
847288609443	1.1977360248565674	331660
2541865828329	1.1714868545532227	334832
7625597484987	1.1142988204956055	334188
22876792454961	1.1687202453613281	337740
68630377364883	1.1365575790405273	339844
205891132094649	1.1329150199890137	333620
617673396283947	1.1362957954406738	336776
1853020188851841	1.198767900466919	337888
5559060566555523	1.1199872493743896	335216
16677181699666569	1.2172880172729492	331400
50031545098999707	1.1178038120269775	332052
150094635296999121	1.1370418071746826	339196
450283905890997363	1.133315086364746	335136
1350851717672992089	1.1690089702606201	334116
4052555153018976267	1.1250429153442383	333276
