num_tips	time	memory
81	39.346211433410645	374732
243	39.79034352302551	377252
729	39.82142877578735	377712
2187	39.48753786087036	379624
6561	41.4931366443634	395440
19683	45.98903703689575	418496
59049	59.902671098709106	531076
177147	110.43530368804932	856384
531441	265.2698209285736	1684196
1594323	781.4078130722046	4443040
4782969	869.9625113010406	4644044
14348907	928.8196063041687	4662160
43046721	902.6288678646088	4657864
129140163	891.7398910522461	4645944
387420489	914.2356269359589	4662036
1162261467	923.1822423934937	4665100
3486784401	1.3226256370544434	224052
10460353203	0.9437317848205566	222852
31381059609	0.9299743175506592	216856
94143178827	0.9444546699523926	220488
282429536481	0.9148707389831543	215996
847288609443	0.9810004234313965	220416
2541865828329	1.0042662620544434	225224
7625597484987	0.9136326313018799	226096
22876792454961	0.9617698192596436	218512
68630377364883	0.9130775928497314	220136
205891132094649	0.9273805618286133	214376
617673396283947	0.9054050445556641	217872
1853020188851841	0.9344151020050049	214960
5559060566555523	0.9397330284118652	218552
16677181699666569	0.9579932689666748	214060
50031545098999707	0.9218084812164307	220620
150094635296999121	0.9352240562438965	215908
450283905890997363	0.9552450180053711	217356
1350851717672992089	0.948723554611206	217480
4052555153018976267	0.9167344570159912	216460
